,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,303.0,304.0,303.0,303.5,303.5,304.0,303.5,304.5,302.5,303.5,304.5,304.0,303.0,303.5
1,2,306.5,304.5,305.0,304.0,305.5,304.5,304.5,305.0,304.5,305.5,303.5,304.5,305.0,304.0
2,3,314.5,310.5,310.0,308.5,312.5,309.5,313.5,311.5,310.5,312.5,309.5,309.5,310.5,308.5
3,4,315.0,311.0,311.0,309.0,313.0,310.0,315.0,312.0,312.0,314.0,310.0,310.0,312.0,309.0
4,5,310.0,308.0,308.0,307.0,309.0,308.0,308.0,308.0,308.0,308.5,307.0,306.5,307.5,307.0
5,6,303.0,303.0,294.0,303.0,293.5,303.0,285.0,303.0,303.0,296.5,303.0,293.5,303.0,303.0
6,7,277.0,296.0,299.0,284.0,279.0,297.0,292.0,297.0,298.0,285.0,288.0,287.0,293.0,295.0
7,8,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0
8,9,303.0,303.0,303.0,303.0,301.0,304.0,299.0,306.0,303.0,305.0,303.0,302.0,304.0,302.0
9,10,303.5,303.5,306.5,304.5,305.0,306.0,302.5,307.0,306.0,305.5,303.0,305.0,306.5,305.5
10,11,303.0,302.0,303.0,301.0,302.0,302.0,301.0,303.0,302.0,301.0,302.0,303.0,303.0,302.0
11,12,304.0,301.0,302.5,302.5,301.5,301.0,301.0,302.5,301.5,302.0,302.0,301.5,301.5,301.0
