,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,303.0,299.5,301.0,298.5,298.5,299.5,298.0,299.0,300.0,301.0,300.5,300.5,299.0,299.0
1,2,310.0,306.0,308.0,305.0,306.0,306.0,308.0,307.0,307.0,309.0,307.0,306.0,307.0,305.0
2,3,312.5,307.5,308.5,307.5,308.5,307.5,310.0,308.5,308.0,311.0,308.0,307.0,308.0,306.5
3,4,316.5,312.5,313.0,311.5,312.5,311.5,314.5,313.0,312.0,315.0,311.0,310.5,312.0,310.5
4,5,312.0,311.5,313.0,311.0,312.5,311.5,312.5,312.5,311.5,308.5,310.5,309.5,311.5,310.5
5,6,301.5,304.0,303.0,303.0,304.0,303.0,302.0,303.0,303.0,305.5,303.0,303.0,303.0,303.0
6,7,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0
7,8,300.5,303.0,303.0,303.5,297.0,304.0,294.0,297.5,303.0,293.5,294.5,293.5,295.0,303.0
8,9,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0
9,10,304.0,304.0,305.5,303.5,303.5,305.0,301.5,306.0,304.0,303.5,304.0,305.0,306.0,303.5
10,11,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0
11,12,303.0,301.5,303.0,303.0,302.0,303.0,296.0,303.0,301.5,303.0,303.0,303.0,303.0,303.0
