,month,Biodiversity Park,Chacha Nehru Park,Imlibun Park,Jalagam Vengal Rao Park,Krishnakanth Park,Lumbini Park,Mahavir Harina Vanasthali National Park,Melkote Park,Public Garden Park,Rural Technology Park,Sanjeevaiah Park,Saroor Nagar Park,Sundarayya Park,lake view park
0,1,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0,303.0
1,2,307.5,303.5,305.0,303.0,305.0,304.0,306.0,305.0,304.5,306.0,304.5,304.0,304.0,303.0
2,3,311.5,306.5,308.0,306.5,308.0,306.5,308.0,308.5,307.5,309.0,308.0,306.5,307.5,305.5
3,4,310.0,308.0,309.5,307.0,309.0,309.0,309.5,309.5,308.5,309.5,308.0,307.5,308.5,308.0
4,5,310.5,307.0,309.0,306.5,308.0,309.0,310.5,310.5,308.0,308.5,308.5,309.0,310.0,307.0
5,6,303.0,303.0,303.0,301.5,304.0,303.0,301.0,303.0,303.0,303.0,300.5,303.0,303.0,303.0
6,8,299.5,303.0,303.5,299.5,301.5,301.0,298.5,302.0,300.5,299.5,300.0,298.5,303.5,297.5
7,10,304.0,303.0,304.0,303.0,303.0,304.0,301.0,304.0,303.0,302.0,303.0,303.0,304.0,303.0
8,11,303.0,299.0,303.0,298.0,300.0,303.0,302.0,302.0,302.0,302.0,300.0,303.0,302.0,299.0
9,12,305.5,301.5,302.0,301.5,302.0,301.5,300.5,302.0,301.0,302.5,301.5,302.0,301.0,301.0
